variant,screen_date,trade_date,turnover
Baseline,2018-03-30,2018-04-02,0.0
Baseline,2018-06-29,2018-07-02,0.0
Baseline,2018-09-28,2018-10-01,0.0
Baseline,2018-12-31,2019-01-01,0.5
Baseline,2019-03-29,2019-04-01,0.09460065053928006
Baseline,2019-06-28,2019-07-01,0.09299477505329307
Baseline,2019-09-30,2019-10-01,0.2574392424757961
Baseline,2019-12-31,2020-01-01,0.09274307834229448
Baseline,2020-03-31,2020-04-01,0.09320569598466744
Baseline,2020-06-30,2020-07-01,0.17088575058702526
Baseline,2020-09-30,2020-10-01,0.08849673592023723
Baseline,2020-12-31,2021-01-01,0.009419874697892718
Baseline,2021-03-31,2021-04-01,0.08902404121806348
Baseline,2021-06-30,2021-07-01,0.09565628420798952
Baseline,2021-09-30,2021-10-01,0.25570860564388326
Baseline,2021-12-31,2022-01-03,0.08537328834038285
Baseline,2022-03-31,2022-04-01,0.01276595223348425
Baseline,2022-06-30,2022-07-01,0.2598203205077119
Baseline,2022-09-30,2022-10-03,0.09013092532425046
Baseline,2022-12-30,2023-01-02,0.1766000409056362
Baseline,2023-03-31,2023-04-03,0.17678647594162003
Baseline,2023-06-30,2023-07-03,0.09075955744357438
Baseline,2023-09-29,2023-10-02,0.18337751868880356
Baseline,2023-12-29,2024-01-01,0.09372329365443892
Baseline,2024-03-29,2024-04-01,0.2494930544419012
Baseline,2024-06-28,2024-07-01,0.1795351719159986
Baseline,2024-09-30,2024-10-01,0.09467815349161182
Baseline,2024-12-31,2025-01-01,0.012742967436324089
Baseline,2025-03-31,2025-04-01,0.008786329901934155
Baseline,2025-06-30,2025-07-01,0.09583008283585527
Baseline,2025-09-30,2025-10-01,0.17731690744406076
Residual_10,2018-03-30,2018-04-02,0.0
Residual_10,2018-06-29,2018-07-02,0.0
Residual_10,2018-09-28,2018-10-01,0.0
Residual_10,2018-12-31,2019-01-01,0.5
Residual_10,2019-03-29,2019-04-01,0.09460065053928006
Residual_10,2019-06-28,2019-07-01,0.09299477505329307
Residual_10,2019-09-30,2019-10-01,0.2574392424757961
Residual_10,2019-12-31,2020-01-01,0.09274307834229448
Residual_10,2020-03-31,2020-04-01,0.09320569598466744
Residual_10,2020-06-30,2020-07-01,0.17088575058702526
Residual_10,2020-09-30,2020-10-01,0.08849673592023723
Residual_10,2020-12-31,2021-01-01,0.009419874697892718
Residual_10,2021-03-31,2021-04-01,0.08902404121806348
Residual_10,2021-06-30,2021-07-01,0.09565628420798952
Residual_10,2021-09-30,2021-10-01,0.25570860564388326
Residual_10,2021-12-31,2022-01-03,0.08537328834038285
Residual_10,2022-03-31,2022-04-01,0.01276595223348425
Residual_10,2022-06-30,2022-07-01,0.2598203205077119
Residual_10,2022-09-30,2022-10-03,0.09013092532425046
Residual_10,2022-12-30,2023-01-02,0.1766000409056362
Residual_10,2023-03-31,2023-04-03,0.17678647594162003
Residual_10,2023-06-30,2023-07-03,0.09075955744357438
